CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk,Salary,City,CIBIL
greater_200,6,credits_paid_to_date,car_new,6193,less_100,4_to_7,4,male,none,2,savings_insurance,27,none,own,1,management_self-employed,1,none,yes,No Risk,6085,Non-Metro,702
less_0,11,prior_payments_delayed,car_used,728,less_100,4_to_7,2,male,none,3,car_other,30,stores,own,1,skilled,1,none,yes,No Risk,5663,Non-Metro,813
no_checking,19,credits_paid_to_date,retraining,3258,100_to_500,less_1,3,male,none,4,savings_insurance,19,none,rent,1,management_self-employed,1,none,yes,No Risk,3283,Non-Metro,887
less_0,13,all_credits_paid_back,car_new,656,less_100,1_to_4,2,female,none,1,real_estate,24,stores,own,1,skilled,1,none,yes,No Risk,5271,Metro,819
no_checking,33,outstanding_credit,furniture,4527,greater_1000,greater_7,5,male,none,5,savings_insurance,44,none,free,2,skilled,1,yes,yes,Risk,3951,Non-Metro,725
less_0,9,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,19,bank,rent,1,unemployed,1,none,yes,No Risk,5722,Metro,841
greater_200,14,prior_payments_delayed,car_new,4626,greater_1000,1_to_4,3,male,none,4,savings_insurance,37,none,own,1,skilled,1,yes,yes,No Risk,5723,Metro,715
no_checking,41,prior_payments_delayed,appliances,6098,unknown,4_to_7,5,male,none,5,unknown,45,none,own,2,skilled,2,yes,yes,Risk,7448,Non-Metro,889
0_to_200,14,prior_payments_delayed,car_used,3147,less_100,1_to_4,2,male,none,3,savings_insurance,53,none,free,1,skilled,1,yes,yes,No Risk,3420,Metro,747
no_checking,27,prior_payments_delayed,appliances,4959,100_to_500,1_to_4,3,female,none,4,savings_insurance,41,bank,own,2,unemployed,2,yes,yes,No Risk,5326,Metro,887
no_checking,23,prior_payments_delayed,car_used,1304,500_to_1000,greater_7,4,male,none,4,real_estate,43,none,own,1,skilled,1,none,yes,No Risk,7836,Metro,703
less_0,10,credits_paid_to_date,car_used,4263,less_100,1_to_4,3,male,none,3,savings_insurance,26,none,own,2,skilled,1,yes,yes,No Risk,5103,Non-Metro,739
no_checking,20,credits_paid_to_date,radio_tv,4259,100_to_500,4_to_7,3,female,none,4,savings_insurance,36,none,own,1,skilled,1,none,yes,No Risk,4426,Metro,818
less_0,17,credits_paid_to_date,repairs,958,less_100,less_1,2,male,none,1,savings_insurance,23,bank,rent,1,unskilled,2,none,yes,No Risk,7848,Non-Metro,870
less_0,4,credits_paid_to_date,car_new,250,100_to_500,less_1,2,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk,7872,Metro,882
no_checking,29,prior_payments_delayed,furniture,6619,100_to_500,4_to_7,3,male,none,3,unknown,40,stores,rent,1,unskilled,1,yes,yes,No Risk,7366,Non-Metro,732
0_to_200,15,credits_paid_to_date,vacation,676,less_100,4_to_7,2,female,none,1,savings_insurance,31,bank,rent,1,unskilled,1,none,yes,No Risk,6879,Non-Metro,726
no_checking,38,credits_paid_to_date,appliances,5679,unknown,greater_7,5,male,none,5,savings_insurance,42,none,own,3,skilled,2,none,yes,No Risk,6380,Metro,852
no_checking,33,prior_payments_delayed,radio_tv,3713,500_to_1000,4_to_7,4,female,none,3,savings_insurance,29,bank,own,1,unskilled,1,none,yes,No Risk,5043,Metro,836
0_to_200,24,outstanding_credit,appliances,4162,500_to_1000,less_1,3,male,none,4,car_other,38,bank,own,1,unskilled,1,yes,yes,No Risk,6084,Metro,737
no_checking,18,prior_payments_delayed,vacation,3078,500_to_1000,4_to_7,3,female,none,4,savings_insurance,42,bank,own,1,unskilled,1,yes,yes,No Risk,6003,Metro,850
no_checking,40,prior_payments_delayed,vacation,7882,unknown,greater_7,4,male,co-applicant,4,car_other,49,none,own,2,skilled,2,yes,no,Risk,5319,Non-Metro,717
0_to_200,10,credits_paid_to_date,car_used,266,less_100,less_1,2,female,none,1,real_estate,27,none,own,1,management_self-employed,1,none,yes,No Risk,6285,Non-Metro,714
no_checking,45,prior_payments_delayed,radio_tv,5440,500_to_1000,1_to_4,4,male,none,4,car_other,38,none,own,1,skilled,1,yes,yes,No Risk,6635,Non-Metro,862
0_to_200,9,prior_payments_delayed,car_used,3558,less_100,unemployed,2,male,none,1,car_other,31,none,own,2,skilled,1,none,yes,No Risk,5808,Non-Metro,847
no_checking,33,prior_payments_delayed,radio_tv,7362,100_to_500,4_to_7,4,male,none,5,savings_insurance,45,none,own,2,management_self-employed,1,none,yes,Risk,7184,Non-Metro,709
less_0,6,credits_paid_to_date,car_new,250,less_100,1_to_4,3,female,none,2,savings_insurance,36,none,own,1,skilled,1,none,yes,No Risk,4864,Metro,830
