Age,CIBIL,CheckingStatus,City,CreditHistory,CurrentResidenceDuration,Dependents,EmploymentDuration,ExistingCreditsCount,ExistingSavings,ForeignWorker,Housing,InstallmentPercent,InstallmentPlans,Job,LoanAmount,LoanDuration,LoanPurpose,OthersOnLoan,OwnsProperty,Risk,Salary,Sex,Telephone
24,890,0_to_200,Non-Metro,all_credits_paid_back,1,2,1_to_4,1,100_to_500,yes,own,3,none,skilled,919,4,appliances,none,real_estate,No Risk,7321,female,yes
32,880,0_to_200,Metro,all_credits_paid_back,2,1,1_to_4,1,100_to_500,yes,rent,1,stores,skilled,250,4,car_new,none,real_estate,No Risk,6798,female,none
26,886,0_to_200,Metro,all_credits_paid_back,3,1,less_1,1,100_to_500,yes,rent,2,bank,unskilled,250,4,car_new,none,real_estate,No Risk,5935,female,none
30,815,0_to_200,Non-Metro,all_credits_paid_back,1,1,less_1,1,500_to_1000,yes,rent,1,none,skilled,250,4,car_new,none,real_estate,No Risk,5286,male,none
24,704,0_to_200,Metro,all_credits_paid_back,1,1,unemployed,1,500_to_1000,yes,rent,1,none,skilled,250,4,car_new,none,real_estate,No Risk,6148,male,none
29,848,0_to_200,Metro,all_credits_paid_back,1,1,1_to_4,1,less_100,yes,own,1,bank,unemployed,250,4,car_new,none,real_estate,No Risk,6482,female,none
19,708,0_to_200,Metro,all_credits_paid_back,2,1,1_to_4,1,less_100,yes,rent,1,none,skilled,250,4,car_new,none,real_estate,No Risk,6563,female,none
27,832,0_to_200,Non-Metro,all_credits_paid_back,2,1,1_to_4,1,less_100,yes,own,1,none,skilled,250,4,car_new,none,real_estate,No Risk,7161,female,none
26,810,0_to_200,Metro,all_credits_paid_back,1,1,1_to_4,1,less_100,yes,own,2,none,skilled,250,4,car_new,none,real_estate,No Risk,7600,female,none
28,831,0_to_200,Metro,all_credits_paid_back,2,1,1_to_4,1,less_100,yes,own,2,none,skilled,250,4,car_new,none,real_estate,No Risk,7339,female,none
29,868,0_to_200,Metro,all_credits_paid_back,2,1,1_to_4,1,less_100,yes,own,2,none,skilled,250,4,car_new,none,real_estate,No Risk,7143,female,yes
19,846,0_to_200,Metro,all_credits_paid_back,3,1,less_1,1,less_100,yes,own,1,none,skilled,250,4,car_new,none,savings_insurance,No Risk,6083,female,none
36,812,0_to_200,Metro,all_credits_paid_back,1,1,less_1,1,less_100,yes,own,1,none,skilled,250,4,car_new,none,savings_insurance,No Risk,7284,male,none
19,821,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,1,none,skilled,250,4,car_new,none,real_estate,No Risk,7509,male,none
21,854,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,1,stores,skilled,250,4,car_new,none,savings_insurance,No Risk,6749,male,none
22,874,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,own,2,none,skilled,250,4,car_new,none,real_estate,No Risk,6877,female,none
19,878,0_to_200,Metro,all_credits_paid_back,3,1,less_1,1,less_100,yes,own,2,none,skilled,250,4,car_new,none,real_estate,No Risk,5284,female,none
19,892,0_to_200,Metro,all_credits_paid_back,3,1,less_1,1,less_100,yes,rent,2,none,management_self-employed,250,4,car_new,none,real_estate,No Risk,6159,female,none
19,814,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,2,none,skilled,250,4,car_new,none,savings_insurance,No Risk,6433,male,none
19,887,0_to_200,Non-Metro,all_credits_paid_back,1,1,unemployed,1,less_100,yes,rent,1,none,skilled,250,4,car_new,none,real_estate,No Risk,6896,female,none
27,842,0_to_200,Non-Metro,all_credits_paid_back,3,1,unemployed,1,less_100,yes,rent,1,none,skilled,250,4,car_new,none,real_estate,No Risk,6383,female,none
35,886,0_to_200,Metro,all_credits_paid_back,3,1,unemployed,1,less_100,yes,rent,1,bank,unemployed,250,4,car_new,co-applicant,real_estate,No Risk,6809,male,none
24,856,0_to_200,Metro,all_credits_paid_back,2,1,unemployed,1,less_100,yes,rent,2,none,skilled,250,4,car_new,none,savings_insurance,No Risk,7463,male,none
